Date,Open,High,Low,Close,Adj Close,Volume
2023-04-26,28478.519531,28551.609375,28319.769531,28416.470703,28416.470703,68700000
2023-04-27,28340.589844,28459.730469,28241.669922,28457.679688,28457.679688,73600000
2023-04-28,28705.910156,28879.240234,28499.509766,28856.439453,28856.439453,104000000
2023-05-01,29058.050781,29145.890625,29016.830078,29123.179688,29123.179688,73400000
2023-05-02,29278.800781,29278.800781,29083.130859,29157.949219,29157.949219,63900000
2023-05-08,29095.460938,29144.119141,28931.810547,28949.880859,28949.880859,74100000
2023-05-09,29020.630859,29262.359375,29020.630859,29242.820313,29242.820313,86400000
2023-05-10,29189.410156,29195.160156,29070.109375,29122.179688,29122.179688,87300000
2023-05-11,29110.789063,29165.589844,29028.710938,29126.720703,29126.720703,82200000
2023-05-12,29199.300781,29426.060547,29141.519531,29388.300781,29388.300781,106100000
2023-05-15,29547.039063,29629.470703,29475.970703,29626.339844,29626.339844,88600000
2023-05-16,29838.009766,29916.560547,29779.070313,29842.990234,29842.990234,107400000
2023-05-17,29912.439453,30115.320313,29912.439453,30093.589844,30093.589844,93100000
2023-05-18,30432.539063,30667.130859,30381.900391,30573.929688,30573.929688,90500000
2023-05-19,30847.359375,30924.570313,30679.160156,30808.349609,30808.349609,80500000
2023-05-22,30735.710938,31086.820313,30689.269531,31086.820313,31086.820313,75400000
2023-05-23,31245.720703,31352.529297,30828.730469,30957.769531,30957.769531,92200000
2023-05-24,30728.689453,30856.919922,30566.830078,30682.679688,30682.679688,81700000
2023-05-25,30599.269531,30889.980469,30558.140625,30801.130859,30801.130859,84000000
2023-05-26,30909.609375,31101.599609,30864.490234,30916.310547,30916.310547,78300000
2023-05-29,31388.009766,31560.429688,31164.000000,31233.539063,31233.539063,78300000
2023-05-30,31196.240234,31374.830078,31064.189453,31328.160156,31328.160156,71800000
2023-05-31,31057.089844,31142.779297,30785.980469,30887.880859,30887.880859,184600000
2023-06-01,30886.009766,31185.050781,30853.439453,31148.009766,31148.009766,95100000
2023-06-02,31300.720703,31555.539063,31257.009766,31524.220703,31524.220703,90700000
2023-06-05,31864.119141,32217.429688,31798.720703,32217.429688,32217.429688,98800000
2023-06-06,31988.369141,32534.470703,31933.869141,32506.779297,32506.779297,82500000
2023-06-07,32618.779297,32708.529297,31913.740234,31913.740234,31913.740234,111900000
2023-06-08,31877.789063,32035.949219,31420.449219,31641.269531,31641.269531,86000000
2023-06-09,31927.380859,32304.039063,31898.750000,32265.169922,32265.169922,101500000
2023-06-12,32412.119141,32517.679688,32280.539063,32434.000000,32434.000000,68700000
2023-06-13,32668.949219,33127.359375,32638.210938,33018.648438,33018.648438,89500000
2023-06-14,33331.468750,33665.519531,33203.949219,33502.421875,33502.421875,111600000
2023-06-15,33493.691406,33767.128906,33386.011719,33485.488281,33485.488281,105800000
2023-06-16,33399.148438,33772.761719,33186.929688,33706.078125,33706.078125,132000000
2023-06-19,33768.691406,33772.890625,33231.558594,33370.421875,33370.421875,82900000
2023-06-20,33269.570313,33474.738281,33089.019531,33388.910156,33388.910156,82400000
2023-06-21,33200.628906,33657.871094,33154.679688,33575.140625,33575.140625,82000000
2023-06-22,33438.011719,33641.460938,33232.191406,33264.878906,33264.878906,94700000
2023-06-23,33458.351563,33533.468750,32575.560547,32781.539063,32781.539063,0
